Date,Year,Quarter,Month,Day
9/27/2013,2013,3,Sep,Fri
9/28/2013,2013,3,Sep,Sat
9/29/2013,2013,3,Sep,Sun
9/30/2013,2013,3,Sep,Mon
10/1/2013,2013,4,Oct,Tue
10/2/2013,2013,4,Oct,Wed
10/3/2013,2013,4,Oct,Thu
10/4/2013,2013,4,Oct,Fri
10/5/2013,2013,4,Oct,Sat
10/6/2013,2013,4,Oct,Sun
10/7/2013,2013,4,Oct,Mon
10/8/2013,2013,4,Oct,Tue
10/9/2013,2013,4,Oct,Wed
10/10/2013,2013,4,Oct,Thu
10/11/2013,2013,4,Oct,Fri
10/12/2013,2013,4,Oct,Sat
10/13/2013,2013,4,Oct,Sun
10/14/2013,2013,4,Oct,Mon
10/15/2013,2013,4,Oct,Tue
10/16/2013,2013,4,Oct,Wed
10/17/2013,2013,4,Oct,Thu
10/18/2013,2013,4,Oct,Fri
10/19/2013,2013,4,Oct,Sat
10/20/2013,2013,4,Oct,Sun
10/21/2013,2013,4,Oct,Mon
10/22/2013,2013,4,Oct,Tue
10/23/2013,2013,4,Oct,Wed
10/24/2013,2013,4,Oct,Thu
10/25/2013,2013,4,Oct,Fri
10/26/2013,2013,4,Oct,Sat
10/27/2013,2013,4,Oct,Sun
10/28/2013,2013,4,Oct,Mon
10/29/2013,2013,4,Oct,Tue
10/30/2013,2013,4,Oct,Wed
10/31/2013,2013,4,Oct,Thu
11/1/2013,2013,4,Nov,Fri
11/2/2013,2013,4,Nov,Sat
11/3/2013,2013,4,Nov,Sun
11/4/2013,2013,4,Nov,Mon
11/5/2013,2013,4,Nov,Tue
11/6/2013,2013,4,Nov,Wed
11/7/2013,2013,4,Nov,Thu
11/8/2013,2013,4,Nov,Fri
11/9/2013,2013,4,Nov,Sat
11/10/2013,2013,4,Nov,Sun
11/11/2013,2013,4,Nov,Mon
11/12/2013,2013,4,Nov,Tue
11/13/2013,2013,4,Nov,Wed
11/14/2013,2013,4,Nov,Thu
11/15/2013,2013,4,Nov,Fri
11/16/2013,2013,4,Nov,Sat
11/17/2013,2013,4,Nov,Sun
11/18/2013,2013,4,Nov,Mon
11/19/2013,2013,4,Nov,Tue
11/20/2013,2013,4,Nov,Wed
11/21/2013,2013,4,Nov,Thu
11/22/2013,2013,4,Nov,Fri
11/23/2013,2013,4,Nov,Sat
11/24/2013,2013,4,Nov,Sun
11/25/2013,2013,4,Nov,Mon
11/26/2013,2013,4,Nov,Tue
11/27/2013,2013,4,Nov,Wed
11/28/2013,2013,4,Nov,Thu
11/29/2013,2013,4,Nov,Fri
11/30/2013,2013,4,Nov,Sat
12/1/2013,2013,4,Dec,Sun
12/2/2013,2013,4,Dec,Mon
12/3/2013,2013,4,Dec,Tue
12/4/2013,2013,4,Dec,Wed
12/5/2013,2013,4,Dec,Thu
12/6/2013,2013,4,Dec,Fri
12/7/2013,2013,4,Dec,Sat
12/8/2013,2013,4,Dec,Sun
12/9/2013,2013,4,Dec,Mon
12/10/2013,2013,4,Dec,Tue
12/11/2013,2013,4,Dec,Wed
12/12/2013,2013,4,Dec,Thu
12/13/2013,2013,4,Dec,Fri
12/14/2013,2013,4,Dec,Sat
12/15/2013,2013,4,Dec,Sun
12/16/2013,2013,4,Dec,Mon
12/17/2013,2013,4,Dec,Tue
12/18/2013,2013,4,Dec,Wed
12/19/2013,2013,4,Dec,Thu
12/20/2013,2013,4,Dec,Fri
12/21/2013,2013,4,Dec,Sat
12/22/2013,2013,4,Dec,Sun
12/23/2013,2013,4,Dec,Mon
12/24/2013,2013,4,Dec,Tue
12/25/2013,2013,4,Dec,Wed
12/26/2013,2013,4,Dec,Thu
12/27/2013,2013,4,Dec,Fri
12/28/2013,2013,4,Dec,Sat
12/29/2013,2013,4,Dec,Sun
12/30/2013,2013,4,Dec,Mon
12/31/2013,2013,4,Dec,Tue
1/1/2014,2014,1,Jan,Wed
1/2/2014,2014,1,Jan,Thu
1/3/2014,2014,1,Jan,Fri
1/4/2014,2014,1,Jan,Sat
1/5/2014,2014,1,Jan,Sun
1/6/2014,2014,1,Jan,Mon
1/7/2014,2014,1,Jan,Tue
1/8/2014,2014,1,Jan,Wed
1/9/2014,2014,1,Jan,Thu
1/10/2014,2014,1,Jan,Fri
1/11/2014,2014,1,Jan,Sat
1/12/2014,2014,1,Jan,Sun
1/13/2014,2014,1,Jan,Mon
1/14/2014,2014,1,Jan,Tue
1/15/2014,2014,1,Jan,Wed
1/16/2014,2014,1,Jan,Thu
1/17/2014,2014,1,Jan,Fri
1/18/2014,2014,1,Jan,Sat
1/19/2014,2014,1,Jan,Sun
1/20/2014,2014,1,Jan,Mon
1/21/2014,2014,1,Jan,Tue
1/22/2014,2014,1,Jan,Wed
1/23/2014,2014,1,Jan,Thu
1/24/2014,2014,1,Jan,Fri
1/25/2014,2014,1,Jan,Sat
1/26/2014,2014,1,Jan,Sun
1/27/2014,2014,1,Jan,Mon
1/28/2014,2014,1,Jan,Tue
1/29/2014,2014,1,Jan,Wed
1/30/2014,2014,1,Jan,Thu
1/31/2014,2014,1,Jan,Fri
2/1/2014,2014,1,Feb,Sat
2/2/2014,2014,1,Feb,Sun
2/3/2014,2014,1,Feb,Mon
2/4/2014,2014,1,Feb,Tue
2/5/2014,2014,1,Feb,Wed
2/6/2014,2014,1,Feb,Thu
2/7/2014,2014,1,Feb,Fri
2/8/2014,2014,1,Feb,Sat
2/9/2014,2014,1,Feb,Sun
2/10/2014,2014,1,Feb,Mon
2/11/2014,2014,1,Feb,Tue
2/12/2014,2014,1,Feb,Wed
2/13/2014,2014,1,Feb,Thu
2/14/2014,2014,1,Feb,Fri
2/15/2014,2014,1,Feb,Sat
2/16/2014,2014,1,Feb,Sun
2/17/2014,2014,1,Feb,Mon
2/18/2014,2014,1,Feb,Tue
2/19/2014,2014,1,Feb,Wed
2/20/2014,2014,1,Feb,Thu
2/21/2014,2014,1,Feb,Fri
2/22/2014,2014,1,Feb,Sat
2/23/2014,2014,1,Feb,Sun
2/24/2014,2014,1,Feb,Mon
2/25/2014,2014,1,Feb,Tue
2/26/2014,2014,1,Feb,Wed
2/27/2014,2014,1,Feb,Thu
2/28/2014,2014,1,Feb,Fri
3/1/2014,2014,1,Mar,Sat
3/2/2014,2014,1,Mar,Sun
3/3/2014,2014,1,Mar,Mon
3/4/2014,2014,1,Mar,Tue
3/5/2014,2014,1,Mar,Wed
3/6/2014,2014,1,Mar,Thu
3/7/2014,2014,1,Mar,Fri
3/8/2014,2014,1,Mar,Sat
3/9/2014,2014,1,Mar,Sun
3/10/2014,2014,1,Mar,Mon
3/11/2014,2014,1,Mar,Tue
3/12/2014,2014,1,Mar,Wed
3/13/2014,2014,1,Mar,Thu
3/14/2014,2014,1,Mar,Fri
3/15/2014,2014,1,Mar,Sat
3/16/2014,2014,1,Mar,Sun
3/17/2014,2014,1,Mar,Mon
3/18/2014,2014,1,Mar,Tue
3/19/2014,2014,1,Mar,Wed
3/20/2014,2014,1,Mar,Thu
3/21/2014,2014,1,Mar,Fri
3/22/2014,2014,1,Mar,Sat
3/23/2014,2014,1,Mar,Sun
3/24/2014,2014,1,Mar,Mon
3/25/2014,2014,1,Mar,Tue
3/26/2014,2014,1,Mar,Wed
3/27/2014,2014,1,Mar,Thu
3/28/2014,2014,1,Mar,Fri
3/29/2014,2014,1,Mar,Sat
3/30/2014,2014,1,Mar,Sun
3/31/2014,2014,1,Mar,Mon
4/1/2014,2014,2,Apr,Tue
4/2/2014,2014,2,Apr,Wed
4/3/2014,2014,2,Apr,Thu
4/4/2014,2014,2,Apr,Fri
4/5/2014,2014,2,Apr,Sat
4/6/2014,2014,2,Apr,Sun
4/7/2014,2014,2,Apr,Mon
4/8/2014,2014,2,Apr,Tue
4/9/2014,2014,2,Apr,Wed
4/10/2014,2014,2,Apr,Thu
4/11/2014,2014,2,Apr,Fri
4/12/2014,2014,2,Apr,Sat
4/13/2014,2014,2,Apr,Sun
4/14/2014,2014,2,Apr,Mon
4/15/2014,2014,2,Apr,Tue
4/16/2014,2014,2,Apr,Wed
4/17/2014,2014,2,Apr,Thu
4/18/2014,2014,2,Apr,Fri
